Common Name,Order,Family,Species Name,States
Abert's Squirrel,Rodentia_other,Sciuridae,Sciurus aberti,"Arizona, Colorado, New Mexico, Utah, Wyoming"
African Wild Ass,Perissodactyla,Equidae,Equus asinus,Hawaii
Agile Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys agilis,California
Alaska Marmot,Rodentia_other,Sciuridae,Marmota broweri,Alaska
Alaska Tiny Shrew,Eulipotyphla,Soricidae,Sorex yukonicus,Alaska
Alaskan Hare,Lagomorpha,Leporidae,Lepus othus,Alaska
Allegheny Woodrat,Rodentia,Cricetidae,Neotoma magister,"Delaware, Indiana, Kentucky, Maryland, North Carolina, New Jersey, Ohio, Pennsylvania, Tennessee, Virginia, West Virginia"
Allen's Big-eared Bat,Chiroptera,Vespertilionidae,Idionycteris phyllotis,"Arizona, Colorado, New Mexico, Texas, Utah"
Allen's Chipmunk,Rodentia_other,Sciuridae,Tamias senex,"California, Nevada, Oregon"
Alpine Chipmunk,Rodentia_other,Sciuridae,Tamias alpinus,California
American Badger,Carnivora,Mustelidae,Taxidea taxus,"Arkansas, Arizona, California, Colorado, Iowa, Idaho, Illinois, Indiana, Kansas, Maryland, Michigan, Minnesota, Missouri, Montana, North Dakota, Nebraska, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, South Dakota, Texas, Utah, Washington, Wisconsin, West Virginia, Wyoming"
American Beaver,Rodentia,Castoridae,Castor canadensis,"Alaska, Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
American Bison,Artiodactyla,Bovidae,Bison bison,"Alaska, Arizona, Kansas, Montana, New Mexico, Utah, Wyoming"
American Marten,Carnivora,Mustelidae,Martes americana,"Alaska, California, Colorado, Idaho, Maine, Michigan, Minnesota, Montana, New Mexico, Nevada, New York, Oregon, Utah, Washington, Wisconsin, Wyoming"
American Mink,Carnivora,Mustelidae,Neovison vison,"Alaska, Alabama, Arkansas, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
American Pika,Lagomorpha,Ochotonidae,Ochotona princeps,"California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming"
Antelope Jackrabbit,Lagomorpha,Leporidae,Lepus alleni,Arizona
Appalachian Cottontail,Lagomorpha,Leporidae,Sylvilagus obscurus,"Alabama, Georgia, Kentucky, Maryland, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia, West Virginia"
Arctic Fox,Carnivora,Canidae,Vulpes lagopus,Alaska
Arctic Ground Squirrel,Rodentia_other,Sciuridae,Urocitellus parryii,Alaska
Arctic shrew,Eulipotyphla,Soricidae,Sorex arcticus,"Iowa, Illinois, Michigan, Minnesota, Montana, North Dakota, South Dakota, Wisconsin"
Arizona Cotton Rat,Rodentia,Cricetidae,Sigmodon arizonae,"Arizona, California, New Mexico"
Arizona Gray Squirrel,Rodentia_other,Sciuridae,Sciurus arizonensis,"Arizona, New Mexico"
Arizona Myotis,Chiroptera,Vespertilionidae,Myotis occultus,"Arizona, California, Colorado, New Mexico, Texas"
Arizona Pocket Mouse,Rodentia,Heteromyidae,Perognathus amplus,Arizona
Arizona Shrew,Eulipotyphla,Soricidae,Sorex arizonae,"Arizona, New Mexico"
Arizona Woodrat,Rodentia,Cricetidae,Neotoma devia,"Arizona, Nevada"
Atlantic Spotted Dolphin,Artiodactyla,Delphinidae,Stenella frontalis,"Alabama, Connecticut, Delaware, Florida, Georgia, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Rhode Island, South Carolina, Texas, Virginia"
Atlantic White-sided Dolphin,Artiodactyla,Delphinidae,Lagenorhynchus acutus,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island"
Attwater's Pocket Gopher,Rodentia,Geomyidae,Geomys attwateri,Texas
Bailey's Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus baileyi,"Arizona, California, New Mexico"
Baird's Beaked Whale,Artiodactyla,Ziphiidae,Berardius bairdii,"Alaska, California, Oregon, Washington"
Baird's Pocket Gopher,Rodentia,Geomyidae,Geomys breviceps,"Arkansas, Louisiana, Oklahoma, Texas"
Baird's Shrew,Eulipotyphla,Soricidae,Sorex bairdii,"Oregon, Washington"
Baja California Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus rudinoris,California
Banner-tailed Kangaroo Rat,Rodentia,Heteromyidae,Dipodomys spectabilis,"Arizona, New Mexico, Texas"
Barren Ground Shrew,Eulipotyphla,Soricidae,Sorex ugyunak,Alaska
Beach Vole,Rodentia,Cricetidae,Microtus breweri,Massachusetts
Bearded Seal,Carnivora,Phocidae,Erignathus barbatus,Alaska
Belding's Ground Squirrel,Rodentia_other,Sciuridae,Urocitellus beldingi,"California, Idaho, Nevada, Oregon, Utah"
Beluga,Artiodactyla,Monodontidae,Delphinapterus leucas,"Alaska, Massachusetts, New York"
Big Brown Bat,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Alabama, Arkansas, Arizona, California, Colorado, Connecticut, Delaware, Florida, Georgia, Iowa, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Massachusetts, Maryland, Maine, Michigan, Minnesota, Mississippi, Missouri, Montana, North Carolina, North Dakota, Nebraska, New Hampshire, New Jersey, New Mexico, Nevada, New York, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Virginia, Vermont, Washington, Wisconsin, West Virginia, Wyoming"
Big Free-tailed Bat,Chiroptera,Molossidae,Nyctinomops macrotis,"Arizona, California, Colorado, Iowa, Kansas, New Mexico, Nevada, Oklahoma, Texas, Utah"
Bighorn Sheep,Artiodactyla,Bovidae,Ovis canadensis,"Arizona, California, Colorado, Idaho, Montana, New Mexico, Nevada, Oregon, South Dakota, Texas, Utah, Washington, Wyoming"
